profession,nation,salary_type,salary
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,15600.0
Early Years Practitioner,England,Min,15600.0
Early Years Practitioner,England,Min,38590.0
Early Years Practitioner,England,Min,38950.0
Early Years Practitioner,England,Min,19129.5
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,19814.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,23000.0
Early Years Practitioner,England,Min,27356.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,19000.0
Early Years Practitioner,England,Min,20000.0
Early Years Practitioner,England,Min,21000.0
Early Years Practitioner,England,Min,32407.0
Early Years Practitioner,England,Min,15600.0
Early Years Practitioner,England,Min,15600.0
Early Years Practitioner,England,Min,17374.5
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,21000.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,28080.0
Early Years Practitioner,England,Min,23920.0
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,21450.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,28000.0
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,22100.0
Early Years Practitioner,England,Min,22100.0
Early Years Practitioner,England,Min,23000.0
Early Years Practitioner,England,Min,15600.0
Early Years Practitioner,England,Min,34502.0
Early Years Practitioner,England,Min,22155.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,28600.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,41600.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,20000.0
Early Years Practitioner,England,Min,20845.5
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,15600.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,23400.0
Early Years Practitioner,England,Min,22100.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,36400.0
Early Years Practitioner,England,Min,36400.0
Early Years Practitioner,England,Min,25000.0
Early Years Practitioner,England,Min,21450.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,25000.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,26000.0
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,19402.5
Early Years Practitioner,England,Min,34214.0
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,18525.0
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,England,Min,28600.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,35000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,15600.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,40000.0
Early Years Practitioner,England,Min,23985.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,25000.0
Early Years Practitioner,England,Min,24627.0
Early Years Practitioner,England,Min,25417.0
Early Years Practitioner,England,Min,15600.0
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,16575.0
Early Years Practitioner,England,Min,15600.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,20000.0
Early Years Practitioner,England,Min,20000.0
Early Years Practitioner,England,Min,21450.0
Early Years Practitioner,England,Min,18525.0
Early Years Practitioner,Scotland,Min,20475.0
Early Years Practitioner,England,Min,28600.0
Early Years Practitioner,England,Min,31200.0
Early Years Practitioner,England,Min,15600.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,38000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,35000.0
Early Years Practitioner,England,Min,34000.0
Early Years Practitioner,Scotland,Min,31000.0
Early Years Practitioner,England,Min,16900.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,34502.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,25000.0
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,15600.0
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,23985.0
Early Years Practitioner,England,Min,39955.5
Early Years Practitioner,England,Min,39000.0
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,19000.0
Early Years Practitioner,,Min,28000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,23000.0
Early Years Practitioner,England,Min,24000.0
Early Years Practitioner,England,Min,24000.0
Early Years Practitioner,England,Min,23000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,21000.0
Early Years Practitioner,England,Min,17680.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,23000.0
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,Wales,Min,21450.0
Early Years Practitioner,England,Min,25168.0
Early Years Practitioner,England,Min,22672.0
Early Years Practitioner,England,Min,22880.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,39000.0
Early Years Practitioner,England,Min,23000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,21000.0
Early Years Practitioner,England,Min,29120.0
Early Years Practitioner,England,Min,23000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,,Min,20800.0
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,33800.0
Early Years Practitioner,England,Min,37180.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,21255.0
Early Years Practitioner,England,Min,22833.0
Early Years Practitioner,England,Min,34502.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,,Min,22100.0
Early Years Practitioner,England,Min,23000.0
Early Years Practitioner,England,Min,20980.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,18000.0
Early Years Practitioner,England,Min,20000.0
Early Years Practitioner,England,Min,22100.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,24000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,,Min,
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,,Min,19500.0
Early Years Practitioner,,Min,19500.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,15600.0
Early Years Practitioner,England,Min,15600.0
Early Years Practitioner,England,Min,35100.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,29150.0
Early Years Practitioner,England,Min,26000.0
Early Years Practitioner,England,Min,28150.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,29000.0
Early Years Practitioner,England,Min,29000.0
Early Years Practitioner,England,Min,33800.0
Early Years Practitioner,England,Min,33800.0
Early Years Practitioner,England,Min,22100.0
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,22425.0
Early Years Practitioner,,Min,35100.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,25000.0
Early Years Practitioner,England,Min,21450.0
Early Years Practitioner,England,Min,21450.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,23400.0
Early Years Practitioner,England,Min,41600.0
Early Years Practitioner,England,Min,22100.0
Early Years Practitioner,England,Min,22100.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,40000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,26000.0
Early Years Practitioner,England,Min,21000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,26000.0
Early Years Practitioner,,Min,
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,England,Min,20982.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,23620.0
Early Years Practitioner,,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,28000.0
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,15522.0
Early Years Practitioner,England,Min,25500.0
Early Years Practitioner,England,Min,22100.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,28000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,28675.0
Early Years Practitioner,England,Min,36400.0
Early Years Practitioner,England,Min,28000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,35100.0
Early Years Practitioner,,Min,
Early Years Practitioner,,Min,34502.0
Early Years Practitioner,England,Min,13335.0
Early Years Practitioner,England,Min,21450.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,22100.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,22100.0
Early Years Practitioner,England,Min,16341.0
Early Years Practitioner,England,Min,
Early Years Practitioner,Wales,Min,21450.0
Early Years Practitioner,England,Min,32500.0
Early Years Practitioner,Wales,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,22100.0
Early Years Practitioner,England,Min,25000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,28600.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,28600.0
Early Years Practitioner,England,Min,26000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,28600.0
Early Years Practitioner,England,Min,16575.0
Early Years Practitioner,England,Min,23400.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,16321.5
Early Years Practitioner,England,Min,37180.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,20962.5
Early Years Practitioner,England,Min,32407.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,22100.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,Scotland,Min,
Early Years Practitioner,England,Min,19000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,45500.0
Early Years Practitioner,England,Min,27000.0
Early Years Practitioner,England,Min,24500.0
Early Years Practitioner,England,Min,16575.0
Early Years Practitioner,England,Min,16575.0
Early Years Practitioner,England,Min,16575.0
Early Years Practitioner,England,Min,16575.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,31200.0
Early Years Practitioner,England,Min,32500.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,England,Min,19987.5
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,,Min,30000.0
Early Years Practitioner,England,Min,36400.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,21195.2
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,25438.4
Early Years Practitioner,England,Min,22258.6
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,40000.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,46800.0
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,,Min,24000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,46800.0
Early Years Practitioner,,Min,18000.0
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,,Min,18000.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,35100.0
Early Years Practitioner,England,Min,31200.0
Early Years Practitioner,England,Min,20000.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,310000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,21450.0
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,21450.0
Early Years Practitioner,England,Min,23400.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,24627.0
Early Years Practitioner,England,Min,25188.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,26500.0
Early Years Practitioner,England,Min,24128.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,23000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,23000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,21000.0
Early Years Practitioner,England,Min,20020.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,22100.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,,Min,20500.0
Early Years Practitioner,England,Min,24000.0
Early Years Practitioner,England,Min,33800.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,22880.0
Early Years Practitioner,England,Min,32000.0
Early Years Practitioner,England,Min,21450.0
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,England,Min,31200.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,,Min,
Early Years Practitioner,England,Min,15840.0
Early Years Practitioner,,Min,
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,
Early Years Practitioner,Wales,Min,9100.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,21000.0
Early Years Practitioner,England,Min,23400.0
Early Years Practitioner,England,Min,20000.0
Early Years Practitioner,Wales,Min,18525.0
Early Years Practitioner,Wales,Min,18525.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,21859.5
Early Years Practitioner,England,Min,21859.5
Early Years Practitioner,England,Min,23500.0
Early Years Practitioner,England,Min,39955.5
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,52000.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,23000.0
Early Years Practitioner,England,Min,16900.0
Early Years Practitioner,England,Min,32500.0
Early Years Practitioner,England,Min,32500.0
Early Years Practitioner,England,Min,21001.5
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,28000.0
Early Years Practitioner,England,Min,23200.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,32157.0
Early Years Practitioner,England,Min,18000.0
Early Years Practitioner,England,Min,16900.0
Early Years Practitioner,England,Min,22100.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,29900.0
Early Years Practitioner,,Min,20800.0
Early Years Practitioner,England,Min,23400.0
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,21450.0
Early Years Practitioner,,Min,20000.0
Early Years Practitioner,England,Min,20000.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,21450.0
Early Years Practitioner,England,Min,18525.0
Early Years Practitioner,England,Min,18525.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,,Min,21001.5
Early Years Practitioner,England,Min,16575.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,35100.0
Early Years Practitioner,England,Min,22425.0
Early Years Practitioner,England,Min,21840.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,22156.0
Early Years Practitioner,England,Min,175500.0
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,26000.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,24000.0
Early Years Practitioner,England,Min,32407.0
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,England,Min,19000.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,28600.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,24000.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,21255.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,28000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,31200.0
Early Years Practitioner,England,Min,31200.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,17301.0
Early Years Practitioner,England,Min,17000.0
Early Years Practitioner,Scotland,Min,22500.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,23000.0
Early Years Practitioner,England,Min,28000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,14917.5
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,28600.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,16341.0
Early Years Practitioner,England,Min,24700.0
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,27300.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,15600.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,26000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,25350.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,20475.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,52000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,52000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,35100.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,31200.0
Early Years Practitioner,,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,23000.0
Early Years Practitioner,England,Min,20000.0
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,18798.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,33150.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,36141.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,26000.0
Early Years Practitioner,England,Min,26000.0
Early Years Practitioner,England,Min,26000.0
Early Years Practitioner,England,Min,26000.0
Early Years Practitioner,England,Min,26000.0
Early Years Practitioner,England,Min,26000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,31500.0
Early Years Practitioner,England,Min,24700.0
Early Years Practitioner,England,Min,24700.0
Early Years Practitioner,England,Min,14917.5
Early Years Practitioner,England,Min,14917.5
Early Years Practitioner,England,Min,24000.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,27300.0
Early Years Practitioner,England,Min,27300.0
Early Years Practitioner,England,Min,
Early Years Practitioner,,Min,
Early Years Practitioner,England,Min,20146.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,28966.0
Early Years Practitioner,England,Min,36141.0
Early Years Practitioner,England,Min,22100.0
Early Years Practitioner,,Min,22100.0
Early Years Practitioner,England,Min,28600.0
Early Years Practitioner,England,Min,28600.0
Early Years Practitioner,England,Min,28600.0
Early Years Practitioner,England,Min,32662.0
Early Years Practitioner,England,Min,23200.0
Early Years Practitioner,England,Min,16900.0
Early Years Practitioner,England,Min,19305.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,19636.5
Early Years Practitioner,,Min,19500.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,33800.0
Early Years Practitioner,Scotland,Min,21000.0
Early Years Practitioner,England,Min,23000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,23000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,,Min,
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,31200.0
Early Years Practitioner,England,Min,33800.0
Early Years Practitioner,England,Min,28600.0
Early Years Practitioner,England,Min,28600.0
Early Years Practitioner,England,Min,28600.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,20475.0
Early Years Practitioner,England,Min,24000.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,17803.5
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,20000.0
Early Years Practitioner,,Min,28000.0
Early Years Practitioner,England,Min,18500.0
Early Years Practitioner,England,Min,24000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,19000.0
Early Years Practitioner,England,Min,27500.0
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,England,Min,21320.0
Early Years Practitioner,England,Min,22100.0
Early Years Practitioner,,Min,28000.0
Early Years Practitioner,England,Min,25000.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,24375.0
Early Years Practitioner,England,Min,24375.0
Early Years Practitioner,England,Min,25000.0
Early Years Practitioner,England,Min,24375.0
Early Years Practitioner,England,Min,17000.0
Early Years Practitioner,England,Min,24375.0
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,Wales,Min,17803.5
Early Years Practitioner,England,Min,16497.0
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,25714.0
Early Years Practitioner,England,Min,21450.0
Early Years Practitioner,,Min,
Early Years Practitioner,England,Min,33652.0
Early Years Practitioner,England,Min,22100.0
Early Years Practitioner,England,Min,32407.0
Early Years Practitioner,England,Min,32407.0
Early Years Practitioner,England,Min,36141.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,England,Min,26000.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,17550.0
Early Years Practitioner,England,Min,20800.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,21500.0
Early Years Practitioner,England,Min,21255.0
Early Years Practitioner,England,Min,39000.0
Early Years Practitioner,England,Min,18200.0
Early Years Practitioner,,Min,21195.0
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,19500.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,22000.0
Early Years Practitioner,England,Min,16800.0
Early Years Practitioner,England,Min,20767.5
Early Years Practitioner,England,Min,20319.0
Early Years Practitioner,England,Min,36400.0
Early Years Practitioner,,Min,
